79,,INDIANA LOTTO
93,,treo 700w
123,,Wrsi Riversound cafe cd
161,,Dillons/Kroger Employee Coupon ($1.25 credit)
178,,Outdoor Bag
1090,VAR,Rountech Asset 1
1205,1 gal,GIANT NATURAL MOUNTAIN SPRING WATER
1243,,CVS Photo 1-Hour 4x6 Finishing
1601,,Sainsbury's Red Pepper
2288,18 oz,Winn Dixie Hand Lotion
2745,,sunglasses
4138,100 pack,Taiyo-Yuden Value Line 8x DVD-R
4145,7.6 cm x 1.8m,Conforming Bandages
5210,,maggi
6217,1 gal,Trader Joe's 1% Lowfat Milk
7511,44 oz,Maverik Plastic Soda Cup
8570,,jewerly
9997,32 FL OZ,Down to Earth - Goji Berry Juice
10016,16.9 oz,Coupon
10023,1.3 - 2.2 oz,Coupon
10344,CD,WNCI Morning Zoo - Oops... We Did It Again!
14946,6.5mm thick - 3m roll,Florist Ribbon - Lemon Yellow
28523,,"Coupon for $1.00 off Spareribs, Wegmans Rochester"
29438,16 FL OZ. (1 pt) 473ML,Trader Joe's Energy Drink Wild Berry
40112,Variable Weight,Bananas
42215,Small,Avacados - Green
43816,1.76 oz,Altoids/ Peppermint
46268,,JICAMA
49887,1 x 8 oz,Coca Cola:Diet Coke
50340,,12057 2X72X150 POULTRY NETTING
52559,17.5 oz,Raid Ant & Roach Spray
54607,,Engizer e2 Batteries 
56731,,3/8X1.5X48 POINT LATH STAKE
56748,,3/8X1.5X48 WD PLASTER LATH
58322,10 oz (284g),Trader Joe's Dark Chocolate Covered Macadamia Nuts
61315,Paper,"Money-Saving Coupon for Walgreens One-Hour Photo Center; Process 2 rolls, get the 3rd FREE with One Hour Service Any 35 mm film or one-time use camera"
61322,Paper,"Money-Saving Coupon for Walgreens One-Hour Photo Center; Process 1 roll, get the 2nd 50%off with One Hour Service Any 35 mm or one-time use camera"
61339,,4 Way Smoothing Block Nail Buffer
61537,,"Park Seeds Tumbling Topm Tomato Seeds, packet of 20"
63425,"1,5L",Sainsbury's HOCK (Deutscher Tafelwein Rhein)
66419,,854000 LUMBER CRAYON HOLDER
68529,,Gian Eagle $5 Off seafood Purchase
72342,,WAVELINE NON/ASBESTOS SHINGLE
72359,,STRT EDGE NON ASBESTOS SHINGLE
89906,16 oz (1 lb) 454g,Trader Joe's Pacific Northwest Super Sweet Cut White Corn (frozen)
93699,,8.fHmg.C3PWDxP6Ca.
94122,7 oz.,"Original Sesame Thins, Trader Joe's"
98601,,00414 9GA GALV 50# SMOOTH WIRE
98632,,00426 12GA 50# GLV SMOOTH WIRE
98649,,00434 14GA 50# GLV SMOOTH WIRE
98656,,00442 16GA 50# GLV SMOOTH WIRE
98670,,00314 9GA 50# BLAK SMOOTH WIRE
98687,,00326 12GA 50# BL SMOOTH WIRE
98694,,00342 16GA 50# BL SMOOTH WIRE
98724,8.5 oz (241g),Trader Joe's Julienne Sliced Sun Dried Tomatoes in Olive Oil
98823,,36 1X20 50 HEX NETTING
98830,,48 1X20 50 HEX NETTING
99288,,2X1X24X100 14GA WELD WIRE
99325,,2X1X72X100 14GA WELD WIRE
99394,,36X50 2X2 HDWR CLOTH
99400,,48X50 2X2 HDWR CLOTH
99530,6 oz.,Trader Joe's Canned Crab Meat
99622,,3X3 96 PAINT METAL LATH
99936,1 LB,"Student Mix The Boy's Farmers Market, Delray Beach, FL "
102148,,CMH-4 4D MASONRY CUT NAILS
102155,,CMH-6 6D MASONRY CUT NAILS
102162,,CMH-8 8D MASONRY CUT NAILS
102179,,CMH-10 10D MASONRY CUT NAILS
102186,,CMH-16 16D MASONRY CUT NAILS
105156,,19803 4-1/2 BAR TIE
105163,,19804 5 BAR TIE
105170,,19805 5-1/2 BAR TIE
105187,,19806 6 BAR TIE
105200,,19810 8 BAR TIE
114936,1 litre,Indian Tonic Water
125628,454g (serves 4),Sainsburys christmas pudding
129725,13.75 oz (390 g),Trader Joe's Artichoke Hearts
130530,860gm,Sainsbury's 48 wholewheat biscuits
140003,,Kroger $5.00 in Free Groceries w/ $20.00 Min. Purchase
156103,547268|0|20|CD|4|35.98,CDMSIM
157148,750 ml,DOM LEFLAIVE BATARD MONTRACHET BIENVENUES
165105,16 oz.,Trader Joe's Mini Ravioli With Cheese Filling
179744,16 oz (1 lb) 454g,Trader Joe's Marinated Mushrooms with Garlic
